run_id,source_id,feed_url,source_name,status,error_code,error_message,retryable,fetched_entries_count,processed_entries_count,new_items_count,duplicate_items_count,failed_items_count,duration_ms
rss_20260517_025649_389384_socialmedia-nvidia-ai-nvidiaai,socialmedia-nvidia-ai-nvidiaai,https://api.xgo.ing/rss/user/05f1492e43514dc3862a076d3697c390,NVIDIA AI(@NVIDIAAI),success,,,0,20,20,0,20,0,2140
rss_20260517_025649_418907_socialmedia-orange-ai-oran-ge,socialmedia-orange-ai-oran-ge,https://api.xgo.ing/rss/user/0277b0bbefd54df7bc6b7880122da8f7,orange.ai(@oran_ge),success,,,0,20,20,0,20,0,2052
rss_20260517_025749_402122_socialmedia-barsee-128054-heybarsee,socialmedia-barsee-128054-heybarsee,https://api.xgo.ing/rss/user/244eb9fa77ce4fa3b7fa5ceba80027a4,Barsee &#128054;(@heyBarsee),success,,,0,6,6,0,6,0,1437
rss_20260517_030351_840876_socialmedia-berkeley-ai-research-berkeley-ai,socialmedia-berkeley-ai-research-berkeley-ai,https://api.xgo.ing/rss/user/6bbf31cac345443585c3280320ba9009,Berkeley AI Research(@berkeley_ai),success,,,0,5,5,0,5,0,1353
rss_20260517_030651_390051_socialmedia-dotey,socialmedia-dotey,https://api.xgo.ing/rss/user/97f1484ae48c430fbbf3438099743674,宝玉(@dotey),failed,rss_parse_error,failed to parse feed: <unknown>:2:0: not well-formed (invalid token),0,0,0,0,0,0,1137
rss_20260517_030652_917061_socialmedia-dotey,socialmedia-dotey,https://api.xgo.ing/rss/user/97f1484ae48c430fbbf3438099743674,宝玉(@dotey),failed,rss_parse_error,failed to parse feed: <unknown>:2:0: not well-formed (invalid token),0,0,0,0,0,0,1156
rss_20260517_031054_443169_socialmedia-arthur-mensch-arthurmensch,socialmedia-arthur-mensch-arthurmensch,https://api.xgo.ing/rss/user/d8121d969fb34c7daad2dd2aac4ba270,Arthur Mensch(@arthurmensch),success,,,0,3,3,0,3,0,1339
rss_20260517_031123_711573_socialmedia-stanford-ai-lab-stanfordailab,socialmedia-stanford-ai-lab-stanfordailab,https://api.xgo.ing/rss/user/d5fc365556e641cba2278f501e8c6f92,Stanford AI Lab(@StanfordAILab),success,,,0,7,7,1,6,0,16878
rss_20260517_031621_938669_socialmedia-orange-ai-oran-ge,socialmedia-orange-ai-oran-ge,https://api.xgo.ing/rss/user/0277b0bbefd54df7bc6b7880122da8f7,orange.ai(@oran_ge),success,,,0,20,20,1,19,0,16739
rss_20260517_031621_947912_socialmedia-nvidia-ai-nvidiaai,socialmedia-nvidia-ai-nvidiaai,https://api.xgo.ing/rss/user/05f1492e43514dc3862a076d3697c390,NVIDIA AI(@NVIDIAAI),success,,,0,20,20,0,20,0,2171
rss_20260517_031651_978220_socialmedia-barsee-128054-heybarsee,socialmedia-barsee-128054-heybarsee,https://api.xgo.ing/rss/user/244eb9fa77ce4fa3b7fa5ceba80027a4,Barsee &#128054;(@heyBarsee),success,,,0,6,6,0,6,0,1355
rss_20260517_031955_065170_socialmedia-berkeley-ai-research-berkeley-ai,socialmedia-berkeley-ai-research-berkeley-ai,https://api.xgo.ing/rss/user/6bbf31cac345443585c3280320ba9009,Berkeley AI Research(@berkeley_ai),success,,,0,5,5,0,5,0,1516
rss_20260517_032124_511736_socialmedia-dotey,socialmedia-dotey,https://api.xgo.ing/rss/user/97f1484ae48c430fbbf3438099743674,宝玉(@dotey),failed,rss_parse_error,failed to parse feed: <unknown>:2:0: not well-formed (invalid token),0,0,0,0,0,0,2354
rss_20260517_032327_486778_socialmedia-stanford-ai-lab-stanfordailab,socialmedia-stanford-ai-lab-stanfordailab,https://api.xgo.ing/rss/user/d5fc365556e641cba2278f501e8c6f92,Stanford AI Lab(@StanfordAILab),success,,,0,7,7,0,7,0,1371
rss_20260517_032329_222205_socialmedia-arthur-mensch-arthurmensch,socialmedia-arthur-mensch-arthurmensch,https://api.xgo.ing/rss/user/d8121d969fb34c7daad2dd2aac4ba270,Arthur Mensch(@arthurmensch),success,,,0,3,3,0,3,0,1295
rss_20260517_032723_815801_socialmedia-dario-amodei-darioamodei,socialmedia-dario-amodei-darioamodei,https://api.xgo.ing/rss/user/49666ce6fe3e4cb786c6574684542ec5,Dario Amodei(@DarioAmodei),success,,,0,9,9,1,8,0,22033
rss_20260517_033011_019323_socialmedia-dotey,socialmedia-dotey,https://api.xgo.ing/rss/user/97f1484ae48c430fbbf3438099743674,宝玉(@dotey),failed,rss_parse_error,failed to parse feed: <unknown>:2:0: not well-formed (invalid token),0,0,0,0,0,0,1161
