run_id,trigger_type,source_mode,status,started_at,finished_at,duration_ms,selected_source_count,success_source_count,failure_source_count,new_items_count,duplicate_items_count,processed_items_count,failed_items_count,created_by,request_json,summary_json,error_code,error_message,created_at,updated_at
rss_20260517_025649_389384_socialmedia-nvidia-ai-nvidiaai,api,source,success,2026-05-17T02:56:49.389384+00:00,2026-05-17T02:56:51.530012+00:00,2140,1,1,0,0,20,20,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_025649_389384_socialmedia-nvidia-ai-nvidiaai"", ""source_id"": ""socialmedia-nvidia-ai-nvidiaai"", ""status"": ""success"", ""started_at"": ""2026-05-17T02:56:49.389384+00:00"", ""finished_at"": ""2026-05-17T02:56:51.530012+00:00"", ""duration_ms"": 2140, ""duration_seconds"": 2.14, ""error_code"": null, ""error_message"": null, ""retryable"": false, ""stats"": {""fetched_entries"": 20, ""processed_entries"": 20, ""new_items"": 0, ""duplicate_items"": 20, ""failed_items"": 0, ""feed_items_seen"": 20, ""selected_items_for_processing"": 20, ""processed_items"": 20}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": null}",,,2026-05-17T02:56:51.530588+00:00,2026-05-17T02:56:51.530588+00:00
rss_20260517_025649_418907_socialmedia-orange-ai-oran-ge,api,source,success,2026-05-17T02:56:49.418907+00:00,2026-05-17T02:56:51.470703+00:00,2052,1,1,0,0,20,20,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_025649_418907_socialmedia-orange-ai-oran-ge"", ""source_id"": ""socialmedia-orange-ai-oran-ge"", ""status"": ""success"", ""started_at"": ""2026-05-17T02:56:49.418907+00:00"", ""finished_at"": ""2026-05-17T02:56:51.470703+00:00"", ""duration_ms"": 2052, ""duration_seconds"": 2.052, ""error_code"": null, ""error_message"": null, ""retryable"": false, ""stats"": {""fetched_entries"": 20, ""processed_entries"": 20, ""new_items"": 0, ""duplicate_items"": 20, ""failed_items"": 0, ""feed_items_seen"": 20, ""selected_items_for_processing"": 20, ""processed_items"": 20}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": null}",,,2026-05-17T02:56:51.471217+00:00,2026-05-17T02:56:51.471217+00:00
rss_20260517_025749_402122_socialmedia-barsee-128054-heybarsee,api,source,success,2026-05-17T02:57:49.402122+00:00,2026-05-17T02:57:50.839243+00:00,1437,1,1,0,0,6,6,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_025749_402122_socialmedia-barsee-128054-heybarsee"", ""source_id"": ""socialmedia-barsee-128054-heybarsee"", ""status"": ""success"", ""started_at"": ""2026-05-17T02:57:49.402122+00:00"", ""finished_at"": ""2026-05-17T02:57:50.839243+00:00"", ""duration_ms"": 1437, ""duration_seconds"": 1.437, ""error_code"": null, ""error_message"": null, ""retryable"": false, ""stats"": {""fetched_entries"": 6, ""processed_entries"": 6, ""new_items"": 0, ""duplicate_items"": 6, ""failed_items"": 0, ""feed_items_seen"": 6, ""selected_items_for_processing"": 6, ""processed_items"": 6}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": null}",,,2026-05-17T02:57:50.839952+00:00,2026-05-17T02:57:50.839952+00:00
rss_20260517_030351_840876_socialmedia-berkeley-ai-research-berkeley-ai,api,source,success,2026-05-17T03:03:51.840876+00:00,2026-05-17T03:03:53.194143+00:00,1353,1,1,0,0,5,5,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_030351_840876_socialmedia-berkeley-ai-research-berkeley-ai"", ""source_id"": ""socialmedia-berkeley-ai-research-berkeley-ai"", ""status"": ""success"", ""started_at"": ""2026-05-17T03:03:51.840876+00:00"", ""finished_at"": ""2026-05-17T03:03:53.194143+00:00"", ""duration_ms"": 1353, ""duration_seconds"": 1.353, ""error_code"": null, ""error_message"": null, ""retryable"": false, ""stats"": {""fetched_entries"": 5, ""processed_entries"": 5, ""new_items"": 0, ""duplicate_items"": 5, ""failed_items"": 0, ""feed_items_seen"": 5, ""selected_items_for_processing"": 5, ""processed_items"": 5}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": null}",,,2026-05-17T03:03:53.195065+00:00,2026-05-17T03:03:53.195065+00:00
rss_20260517_030651_390051_socialmedia-dotey,api,source,failed,2026-05-17T03:06:51.390051+00:00,2026-05-17T03:06:52.527111+00:00,1137,1,0,1,0,0,0,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_030651_390051_socialmedia-dotey"", ""source_id"": ""socialmedia-dotey"", ""status"": ""failed"", ""started_at"": ""2026-05-17T03:06:51.390051+00:00"", ""finished_at"": ""2026-05-17T03:06:52.527111+00:00"", ""duration_ms"": 1137, ""duration_seconds"": 1.137, ""error_code"": ""rss_parse_error"", ""error_message"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)"", ""retryable"": false, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": {""error_code"": ""rss_parse_error"", ""message"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)"", ""retryable"": false}}",rss_parse_error,failed to parse feed: <unknown>:2:0: not well-formed (invalid token),2026-05-17T03:06:52.529828+00:00,2026-05-17T03:06:52.529828+00:00
rss_20260517_030652_917061_socialmedia-dotey,api,source,failed,2026-05-17T03:06:52.917061+00:00,2026-05-17T03:06:54.073493+00:00,1156,1,0,1,0,0,0,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_030652_917061_socialmedia-dotey"", ""source_id"": ""socialmedia-dotey"", ""status"": ""failed"", ""started_at"": ""2026-05-17T03:06:52.917061+00:00"", ""finished_at"": ""2026-05-17T03:06:54.073493+00:00"", ""duration_ms"": 1156, ""duration_seconds"": 1.156, ""error_code"": ""rss_parse_error"", ""error_message"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)"", ""retryable"": false, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": {""error_code"": ""rss_parse_error"", ""message"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)"", ""retryable"": false}}",rss_parse_error,failed to parse feed: <unknown>:2:0: not well-formed (invalid token),2026-05-17T03:06:54.074774+00:00,2026-05-17T03:06:54.074774+00:00
rss_20260517_031054_443169_socialmedia-arthur-mensch-arthurmensch,api,source,success,2026-05-17T03:10:54.443169+00:00,2026-05-17T03:10:55.782499+00:00,1339,1,1,0,0,3,3,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_031054_443169_socialmedia-arthur-mensch-arthurmensch"", ""source_id"": ""socialmedia-arthur-mensch-arthurmensch"", ""status"": ""success"", ""started_at"": ""2026-05-17T03:10:54.443169+00:00"", ""finished_at"": ""2026-05-17T03:10:55.782499+00:00"", ""duration_ms"": 1339, ""duration_seconds"": 1.339, ""error_code"": null, ""error_message"": null, ""retryable"": false, ""stats"": {""fetched_entries"": 3, ""processed_entries"": 3, ""new_items"": 0, ""duplicate_items"": 3, ""failed_items"": 0, ""feed_items_seen"": 3, ""selected_items_for_processing"": 3, ""processed_items"": 3}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": null}",,,2026-05-17T03:10:55.783714+00:00,2026-05-17T03:10:55.783714+00:00
rss_20260517_031123_711573_socialmedia-stanford-ai-lab-stanfordailab,api,source,success,2026-05-17T03:11:23.711573+00:00,2026-05-17T03:11:40.591611+00:00,16878,1,1,0,1,6,7,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_031123_711573_socialmedia-stanford-ai-lab-stanfordailab"", ""source_id"": ""socialmedia-stanford-ai-lab-stanfordailab"", ""status"": ""success"", ""started_at"": ""2026-05-17T03:11:23.711573+00:00"", ""finished_at"": ""2026-05-17T03:11:40.591611+00:00"", ""duration_ms"": 16878, ""duration_seconds"": 16.878, ""error_code"": null, ""error_message"": null, ""retryable"": false, ""stats"": {""fetched_entries"": 7, ""processed_entries"": 7, ""new_items"": 1, ""duplicate_items"": 6, ""failed_items"": 0, ""feed_items_seen"": 7, ""selected_items_for_processing"": 7, ""processed_items"": 7}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": null}",,,2026-05-17T03:11:40.592696+00:00,2026-05-17T03:11:40.592696+00:00
rss_20260517_031621_938669_socialmedia-orange-ai-oran-ge,api,source,success,2026-05-17T03:16:21.938669+00:00,2026-05-17T03:16:38.677900+00:00,16739,1,1,0,1,19,20,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_031621_938669_socialmedia-orange-ai-oran-ge"", ""source_id"": ""socialmedia-orange-ai-oran-ge"", ""status"": ""success"", ""started_at"": ""2026-05-17T03:16:21.938669+00:00"", ""finished_at"": ""2026-05-17T03:16:38.677900+00:00"", ""duration_ms"": 16739, ""duration_seconds"": 16.739, ""error_code"": null, ""error_message"": null, ""retryable"": false, ""stats"": {""fetched_entries"": 20, ""processed_entries"": 20, ""new_items"": 1, ""duplicate_items"": 19, ""failed_items"": 0, ""feed_items_seen"": 20, ""selected_items_for_processing"": 20, ""processed_items"": 20}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": null}",,,2026-05-17T03:16:38.680381+00:00,2026-05-17T03:16:38.680381+00:00
rss_20260517_031621_947912_socialmedia-nvidia-ai-nvidiaai,api,source,success,2026-05-17T03:16:21.947912+00:00,2026-05-17T03:16:24.119454+00:00,2171,1,1,0,0,20,20,0,,"{""mode"": ""normal"", ""force"": true, ""dry_run"": false, ""test"": false, ""limit"": null, ""screen"": null, ""incremental_mode"": null, ""probe_limit"": null, ""new_source_initial_limit"": null, ""old_source_no_anchor_limit"": null, ""stop_on_first_existing"": null, ""include_items"": false, ""process_order"": ""oldest_first""}","{""run_id"": ""rss_20260517_031621_947912_socialmedia-nvidia-ai-nvidiaai"", ""source_id"": ""socialmedia-nvidia-ai-nvidiaai"", ""status"": ""success"", ""started_at"": ""2026-05-17T03:16:21.947912+00:00"", ""finished_at"": ""2026-05-17T03:16:24.119454+00:00"", ""duration_ms"": 2171, ""duration_seconds"": 2.171, ""error_code"": null, ""error_message"": null, ""retryable"": false, ""stats"": {""fetched_entries"": 20, ""processed_entries"": 20, ""new_items"": 0, ""duplicate_items"": 20, ""failed_items"": 0, ""feed_items_seen"": 20, ""selected_items_for_processing"": 20, ""processed_items"": 20}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": null}",,,2026-05-17T03:16:24.119945+00:00,2026-05-17T03:16:24.119945+00:00
