item_id,source_id,feed_url,source_name,title,url,guid,published_at,created_at,updated_at,summary_snippet,content_snippet,dedupe_key,dedupe_version,content_type,semantic_status,seen_count,last_seen_at
item_424969d482994ed296e80f7f01e241ff,socialmedia-junyang-lin-justinlin610,https://api.xgo.ing/rss/user/082097117b4543e9a741cd2580f936d3,Junyang Lin(@JustinLin610),sry for missing messages. will respond asap,https://x.com/JustinLin610/status/2030875622013345949,2030875622013345949,2026-03-09T05:17:34+00:00,2026-05-17T03:16:36.556035+00:00,2026-05-17T03:25:25.566466+00:00,sry for missing messages. will respond asap 💬 97 🔄 11 ❤️ 824 👀 95874 📊 190 ⚡ Powered by xgo.ing,sry for missing messages. will respond asap 💬 97 🔄 11 ❤️ 824 👀 95874 📊 190 ⚡ Powered by xgo.ing,b209da1985d27192eca7f1eebf786226693714ff77eee04d11a7db0c2a9e47d9,2,article,pending,2,2026-05-17T03:25:25.566466+00:00
item_1f4d69af5b784e77a344cf5358af104e,socialmedia-orange-ai-oran-ge,https://api.xgo.ing/rss/user/0277b0bbefd54df7bc6b7880122da8f7,orange.ai(@oran_ge),https://t.co/XumAUBwHIO,https://x.com/oran_ge/status/2055834925572706645,2055834925572706645,2026-05-17T02:16:56+00:00,2026-05-17T03:16:38.669228+00:00,2026-05-17T03:16:38.673058+00:00,x.com/i/article/2055… 💬 1 🔄 0 ❤️ 6 👀 1128 📊 2 ⚡ Powered by xgo.ing,x.com/i/article/2055… 💬 1 🔄 0 ❤️ 6 👀 1128 📊 2 ⚡ Powered by xgo.ing,6a84d7aa7cf14ca35adbf55e1210a684b4f66b7454d5ef30992b4c9ccb7e972e,2,article,pending,1,2026-05-17T03:16:38.669228+00:00
item_f1961ef1b2d34d9b8cc1536bef99083d,socialmedia-openai-openai,https://api.xgo.ing/rss/user/0c0856a69f9f49cf961018c32a0b0049,OpenAI(@OpenAI),"With the new Chrome extension, Codex can quickly move through repetitive browser work, like navigati...",https://x.com/OpenAI/status/2052480801435189708,2052480801435189708,2026-05-07T20:08:50+00:00,2026-05-17T03:16:38.687282+00:00,2026-05-17T03:25:25.443508+00:00,"With the new Chrome extension, Codex can quickly move through repetitive browser work, like navigating structured pages and complex data entry flows. Under the hood, it writes and runs code to navigate and complete tasks. Your browser does not support the video tag. 🔗 View on Twitter 💬 21 🔄 45 ❤️ 11","With the new Chrome extension, Codex can quickly move through repetitive browser work, like navigating structured pages and complex data entry flows. Under the hood, it writes and runs code to navigate and complete tasks. Your browser does not support the video tag. 🔗 View on Twitter 💬 21 🔄 45 ❤️ 11",3cbaefd5a1722d90ca0df87e5a660da04061f2b6b67cfcdc4d73af49338da803,2,article,pending,2,2026-05-17T03:25:25.443508+00:00
item_001a90c3f7594cec848ea0f82dc68d3a,socialmedia-dify-dify-ai,https://api.xgo.ing/rss/user/0be252fedbe84ad7bea21be44b18da89,Dify(@dify_ai),"Japan IT Week Spring 2026 — 3 incredible days, done! 🙏 Three incredible days at Japan IT Week S...",https://x.com/dify_ai/status/2042549118397223307,2042549118397223307,2026-04-10T10:23:53+00:00,2026-05-17T03:16:41.351051+00:00,2026-05-17T03:25:25.655909+00:00,"Japan IT Week Spring 2026 — 3 incredible days, done! 🙏 Three incredible days at Japan IT Week Spring 2026 have come to an end. A heartfelt thank you to everyone who visited us at Booth E34-66. The expo is over, but this is just the beginning. Every conversation at our booth reinforced our commitment","Japan IT Week Spring 2026 — 3 incredible days, done! 🙏 Three incredible days at Japan IT Week Spring 2026 have come to an end. A heartfelt thank you to everyone who visited us at Booth E34-66. The expo is over, but this is just the beginning. Every conversation at our booth reinforced our commitment",1398567eb87cf11b917a165305fb3abd980a0a5c083d188afbc90cef55a92fe3,2,article,pending,2,2026-05-17T03:25:25.655909+00:00
item_51f2bf6483134b5590b0d448607f345a,socialmedia-andrew-ng-andrewyng,https://api.xgo.ing/rss/user/08b5488b20bc437c8bfc317a52e5c26d,Andrew Ng(@AndrewYNg),"New course: Build and Train an LLM with JAX, built in partnership with @Google and taught by @chrisa...",https://x.com/AndrewYNg/status/2029266102178693378,2029266102178693378,2026-03-04T18:41:55+00:00,2026-05-17T03:16:41.426019+00:00,2026-05-17T03:25:25.611535+00:00,"New course: Build and Train an LLM with JAX, built in partnership with @Google and taught by @chrisachard . JAX is the open-source library behind Google's Gemini, Veo, and other advanced models. This short course teaches you to build and train a 20-million parameter language model from scratch using","New course: Build and Train an LLM with JAX, built in partnership with @Google and taught by @chrisachard . JAX is the open-source library behind Google's Gemini, Veo, and other advanced models. This short course teaches you to build and train a 20-million parameter language model from scratch using",aeafe715bdade37fad8c603518c1dc95f1933680b17fbbcbab15ec41fa10a4ac,2,article,pending,2,2026-05-17T03:25:25.611535+00:00
item_31fd8972bc2e4ed6bb3804c808827eb5,socialmedia-replicate-replicate,https://api.xgo.ing/rss/user/12eba9c3db4940c5ab2a72bd00f9ff2c,Replicate(@replicate),HappyHorse-1.0 from Alibaba is here. 🐎💨 This surprise 15B-parameter model has claimed the #1 spot...,https://x.com/replicate/status/2048775215078117809,2048775215078117809,2026-04-27T14:44:10+00:00,2026-05-17T03:16:42.291986+00:00,2026-05-17T03:25:29.663368+00:00,"HappyHorse-1.0 from Alibaba is here. 🐎💨 This surprise 15B-parameter model has claimed the #1 spot on the @ArtificialAnlys Video Arena, outperforming every major lab in text-to-video and image-to-video quality. It features a unified pipeline for 1080p output with joint audio generation and native lip","HappyHorse-1.0 from Alibaba is here. 🐎💨 This surprise 15B-parameter model has claimed the #1 spot on the @ArtificialAnlys Video Arena, outperforming every major lab in text-to-video and image-to-video quality. It features a unified pipeline for 1080p output with joint audio generation and native lip",2cdf24af7001285378bf25e3d1a90a1af55ffa3023d3894a5a6287b91c51f972,2,article,pending,2,2026-05-17T03:25:29.663368+00:00
item_15e1b6a236504b4db7d8b129851ea524,socialmedia-poe-poe-platform,https://api.xgo.ing/rss/user/17687b1051204b2dbaed4ea4c9178f28,Poe(@poe_platform),"Qwen3.6 Plus is now live on Poe. Delivers advanced vision‑language performance from Qwen, with clea...",https://x.com/poe_platform/status/2039830320447734057,2039830320447734057,2026-04-02T22:20:21+00:00,2026-05-17T03:16:51.171970+00:00,2026-05-17T03:25:33.089823+00:00,"Qwen3.6 Plus is now live on Poe. Delivers advanced vision‑language performance from Qwen, with clear gains in code‑heavy workflows like agentic and front‑end coding, plus stronger multimodal understanding including improved OCR and precise object localization. Designed for developers who need reliab","Qwen3.6 Plus is now live on Poe. Delivers advanced vision‑language performance from Qwen, with clear gains in code‑heavy workflows like agentic and front‑end coding, plus stronger multimodal understanding including improved OCR and precise object localization. Designed for developers who need reliab",c7eb25aec397df96a5b0a4c487bbe262b36ec6df9a80abb08745534011f52c1c,2,article,pending,2,2026-05-17T03:25:33.089823+00:00
item_ef4fe7ad5c6d4b53af15552e6eec278a,socialmedia-aadit-sheth-aaditsh,https://api.xgo.ing/rss/user/179bcc4b8e5d4274b6e9e935f9fd4434,Aadit Sheth(@aaditsh),The best companies to work at today: 1. Anthropic 2. OpenAI 3. Google DeepMind 4. SpaceX 5. xAI 6. ...,https://x.com/aaditsh/status/2052063521022886003,2052063521022886003,2026-05-06T16:30:43+00:00,2026-05-17T03:17:04.468288+00:00,2026-05-17T03:25:42.469568+00:00,The best companies to work at today: 1. Anthropic 2. OpenAI 3. Google DeepMind 4. SpaceX 5. xAI 6. NVIDIA 7. Tesla 8. Meta 9. Microsoft 10. ? 💬 256 🔄 51 ❤️ 1666 👀 427108 📊 435 ⚡ Powered by xgo.ing,The best companies to work at today: 1. Anthropic 2. OpenAI 3. Google DeepMind 4. SpaceX 5. xAI 6. NVIDIA 7. Tesla 8. Meta 9. Microsoft 10. ? 💬 256 🔄 51 ❤️ 1666 👀 427108 📊 435 ⚡ Powered by xgo.ing,4a5b73d988fe8e35d4a68b8387095cc79f0375bd3efae6fd909cdcd94f472fea,2,article,pending,2,2026-05-17T03:25:42.469568+00:00
item_5aaeaaf9c4124ab5bc62b91b23df5246,socialmedia-elevenlabs-elevenlabsio,https://api.xgo.ing/rss/user/1897eed387064dfab443764d6da50bc6,ElevenLabs(@elevenlabsio),"One agent, every channel, every modality. Meet your customers where they are with ElevenAgents. Le...",https://x.com/ElevenLabs/status/2052022104363499866,2052022104363499866,2026-05-06T13:46:09+00:00,2026-05-17T03:17:06.474018+00:00,2026-05-17T03:25:55.506899+00:00,"One agent, every channel, every modality. Meet your customers where they are with ElevenAgents. Learn more: elevenlabs.io/blog/introduci… 💬 2 🔄 2 ❤️ 13 👀 2691 📊 4 ⚡ Powered by xgo.ing","One agent, every channel, every modality. Meet your customers where they are with ElevenAgents. Learn more: elevenlabs.io/blog/introduci… 💬 2 🔄 2 ❤️ 13 👀 2691 📊 4 ⚡ Powered by xgo.ing",f97e7455c16827972674f70739062db25116d85df51656af46fefded39c2d3b3,2,article,pending,2,2026-05-17T03:25:55.506899+00:00
item_36dabfaec8994d95a7b71d262597373c,socialmedia-weaviate-vector-database-weaviate-io,https://api.xgo.ing/rss/user/2f1035ec6b28475987af06b600e1d04c,Weaviate • vector database(@weaviate_io),We spent weeks testing text vs. image retrieval for RAG. The winner? 𝗡𝗲𝗶𝘁𝗵𝗲𝗿. Our recent pu...,https://x.com/weaviate_io/status/2041897318367060054,2041897318367060054,2026-04-08T15:13:51+00:00,2026-05-17T03:17:11.742245+00:00,2026-05-17T03:25:55.772828+00:00,"We spent weeks testing text vs. image retrieval for RAG. The winner? 𝗡𝗲𝗶𝘁𝗵𝗲𝗿. Our recent publication, IRPAPERS, compares 𝘁𝗲𝘅𝘁-𝗯𝗮𝘀𝗲𝗱 𝗿𝗲𝘁𝗿𝗶𝗲𝘃𝗮𝗹 (OCR + vector, keyword, and hybrid search) and 𝗶𝗺𝗮𝗴𝗲-𝗯𝗮𝘀𝗲𝗱 𝗿𝗲𝘁𝗿𝗶𝗲𝘃𝗮𝗹 (multimodal late interaction with ColModernVBERT) to see which one ranks best for PDF sea","We spent weeks testing text vs. image retrieval for RAG. The winner? 𝗡𝗲𝗶𝘁𝗵𝗲𝗿. Our recent publication, IRPAPERS, compares 𝘁𝗲𝘅𝘁-𝗯𝗮𝘀𝗲𝗱 𝗿𝗲𝘁𝗿𝗶𝗲𝘃𝗮𝗹 (OCR + vector, keyword, and hybrid search) and 𝗶𝗺𝗮𝗴𝗲-𝗯𝗮𝘀𝗲𝗱 𝗿𝗲𝘁𝗿𝗶𝗲𝘃𝗮𝗹 (multimodal late interaction with ColModernVBERT) to see which one ranks best for PDF sea",e94db5ef0e3359e2527e18bfdaaa5f7439db0b3b814d134e7ac78f04f95f4022,2,article,pending,2,2026-05-17T03:25:55.772828+00:00
item_5e3a557026b04136830b654386324c8b,socialmedia-notebooklm-notebooklm,https://api.xgo.ing/rss/user/221a88341acb475db221a12fed8208d0,NotebookLM(@NotebookLM),"Notebooks in Gemini is officially rolled out to all Ultra, Pro, and Plus users on web! Have you up...",https://x.com/NotebookLM/status/2042307147023990805,2042307147023990805,2026-04-09T18:22:22+00:00,2026-05-17T03:17:12.184795+00:00,2026-05-17T03:25:55.624382+00:00,"Notebooks in Gemini is officially rolled out to all Ultra, Pro, and Plus users on web! Have you uploaded a chat from Gemini as a source yet? What do you think? NotebookLM @NotebookLM Last year, we integrated into the @GeminiApp by allowing you to upload your notebooks as sources. Now, we’re taking o","Notebooks in Gemini is officially rolled out to all Ultra, Pro, and Plus users on web! Have you uploaded a chat from Gemini as a source yet? What do you think? NotebookLM @NotebookLM Last year, we integrated into the @GeminiApp by allowing you to upload your notebooks as sources. Now, we’re taking o",a58677a6aaa1c0be878b1877266a8a1dba146bc485e2c397837dc09b6f37fe16,2,article,pending,2,2026-05-17T03:25:55.624382+00:00
item_ab415682f1f94477a60c7a3f6cc74fd7,socialmedia-ai-sdk-aisdk,https://api.xgo.ing/rss/user/22af005b21ec45b1a4503acca777b7f0,AI SDK(@aisdk),Use Claude Opus 4.6 with the Vercel AI Gateway.,https://x.com/aisdk/status/2019476210372194598,2019476210372194598,2026-02-05T18:20:23+00:00,2026-05-17T03:17:13.012768+00:00,2026-05-17T03:25:55.377293+00:00,Use Claude Opus 4.6 with the Vercel AI Gateway. Vercel Developers @vercel_dev Claude Opus 4.6 is live on AI Gateway. Adaptive thinking. Interleaved reasoning. 1M context window. Built for agents. vercel.com/changelog/clau… 🔗 View Quoted Tweet 💬 5 🔄 14 ❤️ 156 👀 11586 📊 24 ⚡ Powered by xgo.ing,Use Claude Opus 4.6 with the Vercel AI Gateway. Vercel Developers @vercel_dev Claude Opus 4.6 is live on AI Gateway. Adaptive thinking. Interleaved reasoning. 1M context window. Built for agents. vercel.com/changelog/clau… 🔗 View Quoted Tweet 💬 5 🔄 14 ❤️ 156 👀 11586 📊 24 ⚡ Powered by xgo.ing,d4e80e79fb190b236de1a83cc19d3dbf1b4e70e20111fe24460392dfcf3ce9f5,2,article,pending,2,2026-05-17T03:25:55.377293+00:00
