seq_id,item_id,card_reason,card_source,source_id,source_name,feed_url,title,url,guid,published_at,created_at,updated_at,summary_snippet,content_snippet,dedupe_key,dedupe_version,content_type,semantic_status
1,item_2fd731e980504b92bcb3e87e7cc828ad,local minimal card,minimal_rule,,,,,,,,,,,,,,,
2,item_aa83420c19314c3e83fa7ef4bf598fbb,local minimal card,minimal_rule,,,,,,,,,,,,,,,
3,item_4b2aeed7c279403b914736ef5d3ae4d5,local minimal card,minimal_rule,,,,,,,,,,,,,,,
4,item_ebf5e66056624221b7c60379d46de8c7,local minimal card,minimal_rule,,,,,,,,,,,,,,,
5,item_b94199900a84454c8d039af64893b9aa,local minimal card,minimal_rule,,,,,,,,,,,,,,,
6,item_50f727352b2840129ed5005b41e2e609,local minimal card,minimal_rule,,,,,,,,,,,,,,,
7,item_4e857d5aa6c648f991f8ede9f711e4e2,local minimal card,minimal_rule,,,,,,,,,,,,,,,
8,item_33be0718dede4539bcd82966e25c7be1,local minimal card,minimal_rule,,,,,,,,,,,,,,,
9,item_73bc99b4bba1451592beb56cf58ce194,local minimal card,minimal_rule,,,,,,,,,,,,,,,
10,item_05dc673d8c4b4422ad90cfd685eaa507,local minimal card,minimal_rule,,,,,,,,,,,,,,,
11,item_8215f6d98c954cafaaaf780dd3c4e70f,local minimal card,minimal_rule,,,,,,,,,,,,,,,
12,item_e9b26aedd6c548a981d31b5cc1c0511e,local minimal card,minimal_rule,,,,,,,,,,,,,,,
13,item_3bce4c57ac69411b8cd7e677efde4e12,local minimal card,minimal_rule,,,,,,,,,,,,,,,
14,item_5f244321798a4802b825586da96c520f,local minimal card,minimal_rule,,,,,,,,,,,,,,,
15,item_bac7e57b5e1f497dba66045e12e56371,local minimal card,minimal_rule,,,,,,,,,,,,,,,
16,item_689c34612b384a198259654015557d32,local minimal card,minimal_rule,,,,,,,,,,,,,,,
17,item_466b682464064055b1f9458814954a24,local minimal card,minimal_rule,,,,,,,,,,,,,,,
18,item_262d6f61f3bc4851acdbb5f99fbc5315,local minimal card,minimal_rule,,,,,,,,,,,,,,,
19,item_9252d959d0454d18ad8a698d8a0941e7,local minimal card,minimal_rule,,,,,,,,,,,,,,,
20,item_035852b5af484a7987171b64d626fd6d,local minimal card,minimal_rule,,,,,,,,,,,,,,,
21,item_0ce806edb1a84062acbb5aa8c0ce5629,local minimal card,minimal_rule,,,,,,,,,,,,,,,
