source_id,source_name,source_category,feed_url,normalized_feed_url,status,priority,last_fetch_at,last_success_at,last_failure_at,last_error_code,last_error_message,consecutive_failures,failure_count,consecutive_failure_count,last_new_items,last_new_items_count,last_duplicate_items,last_duplicate_items_count,last_processed_items,last_processed_items_count,last_feed_items_seen,last_run_id,last_ingest_at,created_at,updated_at,deleted_at
socialmedia-a16z-a16z,a16z(@a16z),SocialMedia,https://api.xgo.ing/rss/user/f3fedf817599470dbf8d8d11f0872475,https://api.xgo.ing/rss/user/f3fedf817599470dbf8d8d11f0872475,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.502729+00:00,2026-05-16T16:46:34.502729+00:00,
socialmedia-aadit-sheth-aaditsh,"Aadit Sheth(@aaditsh)",SocialMedia,https://api.xgo.ing/rss/user/179bcc4b8e5d4274b6e9e935f9fd4434,https://api.xgo.ing/rss/user/179bcc4b8e5d4274b6e9e935f9fd4434,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.467726+00:00,2026-05-16T16:46:34.467726+00:00,
socialmedia-adam-d-angelo-adamdangelo,"Adam D'Angelo(@adamdangelo)",SocialMedia,https://api.xgo.ing/rss/user/3042b6f912b24f64982cc23f7bd59681,https://api.xgo.ing/rss/user/3042b6f912b24f64982cc23f7bd59681,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.469898+00:00,2026-05-16T16:46:34.469898+00:00,
socialmedia-ai-at-meta-aiatmeta,"AI at Meta(@AIatMeta)",SocialMedia,https://api.xgo.ing/rss/user/ef7c70f9568d45f4915169fef4ce90b4,https://api.xgo.ing/rss/user/ef7c70f9568d45f4915169fef4ce90b4,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.450192+00:00,2026-05-16T16:46:34.450192+00:00,
socialmedia-ai-breakfast-aibreakfast,"AI Breakfast(@AiBreakfast)",SocialMedia,https://api.xgo.ing/rss/user/0e3ebaf288014c45b0d24b71fe37312b,https://api.xgo.ing/rss/user/0e3ebaf288014c45b0d24b71fe37312b,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.452651+00:00,2026-05-16T16:46:34.452651+00:00,
socialmedia-ai-engineer-aidotengineer,"AI Engineer(@aiDotEngineer)",SocialMedia,https://api.xgo.ing/rss/user/7d19a619a1cc4a9896129211269d2c85,https://api.xgo.ing/rss/user/7d19a619a1cc4a9896129211269d2c85,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.472219+00:00,2026-05-16T16:46:34.472219+00:00,
socialmedia-ai-sdk-aisdk,"AI SDK(@aisdk)",SocialMedia,https://api.xgo.ing/rss/user/22af005b21ec45b1a4503acca777b7f0,https://api.xgo.ing/rss/user/22af005b21ec45b1a4503acca777b7f0,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.528672+00:00,2026-05-16T16:46:34.528672+00:00,
socialmedia-ai-will-financeyf5,"AI Will(@FinanceYF5)",SocialMedia,https://api.xgo.ing/rss/user/aa74321087f9405a872fd9a76b743bf8,https://api.xgo.ing/rss/user/aa74321087f9405a872fd9a76b743bf8,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.461476+00:00,2026-05-16T16:46:34.461476+00:00,
socialmedia-ak-akhaliq,AK(@_akhaliq),SocialMedia,https://api.xgo.ing/rss/user/341f7b9f8d9b477e8bb200caa7f32c6e,https://api.xgo.ing/rss/user/341f7b9f8d9b477e8bb200caa7f32c6e,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.534337+00:00,2026-05-16T16:46:34.534337+00:00,
socialmedia-akshay-kothari-akothari,"Akshay Kothari(@akothari)",SocialMedia,https://api.xgo.ing/rss/user/3434c0d56ee0446f991fb6af42bfac4b,https://api.xgo.ing/rss/user/3434c0d56ee0446f991fb6af42bfac4b,active,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,2026-05-16T16:46:34.454392+00:00,2026-05-16T16:46:34.454392+00:00,
