source_id,source_name,feed_url,status,item_count,latest_item_published_at,latest_item_created_at,earliest_item_created_at
socialmedia-orange-ai-oran-ge,orange.ai(@oran_ge),https://api.xgo.ing/rss/user/0277b0bbefd54df7bc6b7880122da8f7,active,26,2026-05-17T02:16:56+00:00,2026-05-17T03:16:38.669228+00:00,2026-05-05T03:40:20.249369+00:00
socialmedia-nvidia-ai-nvidiaai,"NVIDIA AI(@NVIDIAAI)",https://api.xgo.ing/rss/user/05f1492e43514dc3862a076d3697c390,active,25,2026-05-15T19:17:19+00:00,2026-05-16T17:32:01.345301+00:00,2026-05-05T04:20:26.203421+00:00
socialmedia-imxiaohu,"小互(@imxiaohu)",https://api.xgo.ing/rss/user/74e542992cf7441390c708f5601071d4,active,11,2026-05-12T23:47:03+00:00,2026-05-17T03:29:52.052543+00:00,2026-05-04T09:19:01.710678+00:00
socialmedia-junyang-lin-justinlin610,"Junyang Lin(@JustinLin610)",https://api.xgo.ing/rss/user/082097117b4543e9a741cd2580f936d3,active,11,2026-04-24T07:24:53+00:00,2026-05-17T03:25:44.808692+00:00,2026-05-05T03:44:59.027722+00:00
socialmedia-aadit-sheth-aaditsh,"Aadit Sheth(@aaditsh)",https://api.xgo.ing/rss/user/179bcc4b8e5d4274b6e9e935f9fd4434,active,10,2026-05-06T19:30:36+00:00,2026-05-17T03:26:03.734881+00:00,2026-05-05T03:35:13.435179+00:00
socialmedia-ai-sdk-aisdk,"AI SDK(@aisdk)",https://api.xgo.ing/rss/user/22af005b21ec45b1a4503acca777b7f0,active,10,2026-03-10T20:50:07+00:00,2026-05-17T03:26:13.403180+00:00,2026-05-05T04:27:34.938404+00:00
socialmedia-andrew-ng-andrewyng,"Andrew Ng(@AndrewYNg)",https://api.xgo.ing/rss/user/08b5488b20bc437c8bfc317a52e5c26d,active,10,2026-04-30T16:21:35+00:00,2026-05-17T03:25:42.063731+00:00,2026-05-05T04:27:36.282751+00:00
socialmedia-chatgpt-chatgptapp,ChatGPT(@ChatGPTapp),https://api.xgo.ing/rss/user/f7992687b8d74b14bf2341eb3a0a5ec4,active,10,2026-05-05T17:02:24+00:00,2026-05-17T03:34:16.829205+00:00,2026-05-05T03:41:58.862998+00:00
socialmedia-dify-dify-ai,Dify(@dify_ai),https://api.xgo.ing/rss/user/0be252fedbe84ad7bea21be44b18da89,active,10,2026-04-30T19:00:00+00:00,2026-05-17T03:25:46.689496+00:00,2026-05-05T04:31:41.014988+00:00
socialmedia-elevenlabs-elevenlabsio,ElevenLabs(@elevenlabsio),https://api.xgo.ing/rss/user/1897eed387064dfab443764d6da50bc6,active,10,2026-05-07T14:00:37+00:00,2026-05-17T03:26:13.131737+00:00,2026-05-05T04:28:01.527565+00:00
socialmedia-elvis-omarsar0,elvis(@omarsar0),https://api.xgo.ing/rss/user/931d6e88e067496cac6bf23f69d60f33,active,10,2026-05-10T16:39:05+00:00,2026-05-17T03:30:46.824689+00:00,2026-05-05T03:46:19.669351+00:00
socialmedia-geoffrey-hinton-geoffreyhinton,"Geoffrey Hinton(@geoffreyhinton)",https://api.xgo.ing/rss/user/cb6169815e2e447e8e6148a4af3f9686,active,10,2026-05-01T17:33:11+00:00,2026-05-17T03:32:51.976325+00:00,2026-05-05T03:40:27.100840+00:00
socialmedia-groq-inc-groqinc,"Groq Inc(@GroqInc)",https://api.xgo.ing/rss/user/771b32075fe54a83bdb6966de9647b4f,active,10,2026-02-18T22:04:39+00:00,2026-05-17T03:29:51.444793+00:00,2026-05-05T04:29:49.777260+00:00
socialmedia-guillermo-rauch-rauchg,"Guillermo Rauch(@rauchg)",https://api.xgo.ing/rss/user/e8750659b8154dbfa0489f451e044af1,active,10,2026-05-10T19:32:11+00:00,2026-05-17T03:33:44.029511+00:00,2026-05-05T03:32:36.674357+00:00
socialmedia-justin-welsh-thejustinwelsh,"Justin Welsh(@thejustinwelsh)",https://api.xgo.ing/rss/user/58894bf2934a426ca833c682da2bc810,active,10,2026-05-11T17:00:14+00:00,2026-05-17T03:28:14.422555+00:00,2026-05-05T03:47:22.298150+00:00
socialmedia-lovartai-lovart-ai,LovartAI(@lovart_ai),https://api.xgo.ing/rss/user/db648e4d4eae4822aa0d34f0faef7ad2,active,10,2026-04-30T06:49:02+00:00,2026-05-17T03:32:56.346378+00:00,2026-05-05T04:31:02.596453+00:00
socialmedia-notebooklm-notebooklm,NotebookLM(@NotebookLM),https://api.xgo.ing/rss/user/221a88341acb475db221a12fed8208d0,active,10,2026-04-30T17:30:36+00:00,2026-05-17T03:26:16.773619+00:00,2026-05-05T04:31:20.167316+00:00
socialmedia-openai-openai,OpenAI(@OpenAI),https://api.xgo.ing/rss/user/0c0856a69f9f49cf961018c32a0b0049,active,10,2026-05-07T20:08:51+00:00,2026-05-17T03:25:40.458014+00:00,2026-05-05T03:43:00.613236+00:00
socialmedia-poe-poe-platform,Poe(@poe_platform),https://api.xgo.ing/rss/user/17687b1051204b2dbaed4ea4c9178f28,active,10,2026-05-02T04:37:44+00:00,2026-05-17T03:25:58.411711+00:00,2026-05-05T03:31:12.415469+00:00
socialmedia-ray-dalio-raydalio,"Ray Dalio(@RayDalio)",https://api.xgo.ing/rss/user/4838204097ed422eac24ad48e68dc3ff,active,10,2026-05-07T21:07:12+00:00,2026-05-17T03:27:26.543420+00:00,2026-05-05T03:30:55.214234+00:00
socialmedia-replicate-replicate,Replicate(@replicate),https://api.xgo.ing/rss/user/12eba9c3db4940c5ab2a72bd00f9ff2c,active,10,2026-04-30T14:02:05+00:00,2026-05-17T03:25:54.538985+00:00,2026-05-05T03:30:25.397431+00:00
socialmedia-xai-xai,xAI(@xai),https://api.xgo.ing/rss/user/3953aa71e87a422eb9d7bf6ff1c7c43e,active,10,2026-05-05T16:39:00+00:00,2026-05-17T03:26:59.964917+00:00,2026-05-04T09:53:57.578034+00:00
socialmedia-a16z-a16z,a16z(@a16z),https://api.xgo.ing/rss/user/f3fedf817599470dbf8d8d11f0872475,active,9,2026-05-08T18:00:28+00:00,2026-05-17T03:33:50.805277+00:00,2026-05-05T03:49:02.109041+00:00
socialmedia-adam-d-angelo-adamdangelo,"Adam D'Angelo(@adamdangelo)",https://api.xgo.ing/rss/user/3042b6f912b24f64982cc23f7bd59681,active,9,2026-04-28T15:15:29+00:00,2026-05-17T03:26:26.486897+00:00,2026-05-05T03:36:21.210817+00:00
socialmedia-ai-breakfast-aibreakfast,"AI Breakfast(@AiBreakfast)",https://api.xgo.ing/rss/user/0e3ebaf288014c45b0d24b71fe37312b,active,9,2026-04-27T11:31:05+00:00,2026-05-17T03:25:46.856349+00:00,2026-05-05T03:28:52.229462+00:00
socialmedia-ai-engineer-aidotengineer,"AI Engineer(@aiDotEngineer)",https://api.xgo.ing/rss/user/7d19a619a1cc4a9896129211269d2c85,active,9,2026-05-12T18:36:29+00:00,2026-05-17T03:30:12.610716+00:00,2026-05-05T03:37:21.573866+00:00
socialmedia-ai-will-financeyf5,"AI Will(@FinanceYF5)",https://api.xgo.ing/rss/user/aa74321087f9405a872fd9a76b743bf8,active,9,2026-05-15T08:22:59+00:00,2026-05-17T03:31:48.813817+00:00,2026-05-05T03:32:18.134498+00:00
socialmedia-ak-akhaliq,AK(@_akhaliq),https://api.xgo.ing/rss/user/341f7b9f8d9b477e8bb200caa7f32c6e,active,9,2026-05-13T12:46:05+00:00,2026-05-17T03:26:50.770830+00:00,2026-05-05T04:29:33.990713+00:00
