source_name,source_category,local_xml_url,xml_url,feed_url,error_message,error_type
AK(@_akhaliq),SocialMedia,,https://api.xgo.ing/rss/user/341f7b9f8d9b477e8bb200caa7f32c6e,https://api.xgo.ing/rss/user/341f7b9f8d9b477e8bb200caa7f32c6e,"{""ok"": false, ""error"": {""error_code"": ""content_processing_error"", ""message"": ""content processing failed"", ""retryable"": true, ""source_id"": ""socialmedia-ak-akhaliq"", ""feed_url"": ""https://api.xgo.ing/rss/user/341f7b9f8d9b477e8bb200caa7f32c6e""}, ""run"": {""run_id"": ""rss_20260516_083014_823204_socialmedia-ak-akhaliq"", ""source_id"": ""socialmedia-ak-akhaliq"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:30:14.823204+00:00"", ""finished_at"": ""2026-05-16T08:30:39.716093+00:00"", ""duration_ms"": 24893, ""duration_seconds"": 24.893, ""error_code"": ""content_processing_error"", ""error_message"": ""content processing failed"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": ",content_inbox_error
Amjad Masad(@amasad),SocialMedia,,https://api.xgo.ing/rss/user/5fb1814c610c4af2911caa98c5c5ef82,https://api.xgo.ing/rss/user/5fb1814c610c4af2911caa98c5c5ef82,"{""detail"": ""Internal Server Error""}",unknown
Andrej Karpathy - YouTube,Videos,,http://127.0.0.1:1200/youtube/user/@AndrejKarpathy,http://127.0.0.1:1200/youtube/user/@AndrejKarpathy,"{""ok"": false, ""error"": {""error_code"": ""rss_fetch_server_error"", ""message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""source_id"": ""videos-andrej-karpathy-youtube"", ""feed_url"": ""http://127.0.0.1:1200/youtube/user/@AndrejKarpathy""}, ""run"": {""run_id"": ""rss_20260516_083027_908978_videos-andrej-karpathy-youtube"", ""source_id"": ""videos-andrej-karpathy-youtube"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:30:27.908978+00:00"", ""finished_at"": ""2026-05-16T08:30:31.239961+00:00"", ""duration_ms"": 3331, ""duration_seconds"": 3.331, ""error_code"": ""rss_fetch_server_error"", ""error_message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit",rsshub_503
EVANGELION:ALL,Articles,,https://www.eva-all.com/news/feed/,https://www.eva-all.com/news/feed/,"{""ok"": false, ""error"": {""error_code"": ""rss_fetch_http_error"", ""message"": ""HTTP Error 403: Forbidden"", ""retryable"": true, ""source_id"": ""articles-evangelion-all"", ""feed_url"": ""https://www.eva-all.com/news/feed/""}, ""run"": {""run_id"": ""rss_20260516_083055_942226_articles-evangelion-all"", ""source_id"": ""articles-evangelion-all"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:30:55.942226+00:00"", ""finished_at"": ""2026-05-16T08:30:57.141138+00:00"", ""duration_ms"": 1199, ""duration_seconds"": 1.199, ""error_code"": ""rss_fetch_http_error"", ""error_message"": ""HTTP Error 403: Forbidden"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null},",unknown
Lex Fridman - YouTube,Videos,,http://127.0.0.1:1200/youtube/user/%40lexfridman,http://127.0.0.1:1200/youtube/user/%40lexfridman,"{""ok"": false, ""error"": {""error_code"": ""rss_fetch_server_error"", ""message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""source_id"": ""videos-lex-fridman-youtube"", ""feed_url"": ""http://127.0.0.1:1200/youtube/user/%40lexfridman""}, ""run"": {""run_id"": ""rss_20260516_083146_532994_videos-lex-fridman-youtube"", ""source_id"": ""videos-lex-fridman-youtube"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:31:46.532994+00:00"", ""finished_at"": ""2026-05-16T08:31:48.342497+00:00"", ""duration_ms"": 1810, ""duration_seconds"": 1.81, ""error_code"": ""rss_fetch_server_error"", ""error_message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental",rsshub_503
NASA中文 - 天文·每日一图,Pictures/星空,,http://127.0.0.1:1200/nasa/apod-cn,http://127.0.0.1:1200/nasa/apod-cn,"{""ok"": false, ""error"": {""error_code"": ""rss_fetch_server_error"", ""message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""source_id"": ""pictures-nasa"", ""feed_url"": ""http://127.0.0.1:1200/nasa/apod-cn""}, ""run"": {""run_id"": ""rss_20260516_083212_276277_pictures-nasa"", ""source_id"": ""pictures-nasa"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:32:12.276277+00:00"", ""finished_at"": ""2026-05-16T08:32:13.695004+00:00"", ""duration_ms"": 1419, ""duration_seconds"": 1.419, ""error_code"": ""rss_fetch_server_error"", ""error_message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""erro",rsshub_503
StarYuhen,Articles,,https://www.yuhenm.top/feed/,https://www.yuhenm.top/feed/,"{""ok"": false, ""error"": {""error_code"": ""rss_fetch_http_error"", ""message"": ""HTTP Error 403: Forbidden"", ""retryable"": true, ""source_id"": ""articles-staryuhen"", ""feed_url"": ""https://www.yuhenm.top/feed/""}, ""run"": {""run_id"": ""rss_20260516_083251_755064_articles-staryuhen"", ""source_id"": ""articles-staryuhen"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:32:51.755064+00:00"", ""finished_at"": ""2026-05-16T08:32:53.888565+00:00"", ""duration_ms"": 2134, ""duration_seconds"": 2.134, ""error_code"": ""rss_fetch_http_error"", ""error_message"": ""HTTP Error 403: Forbidden"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""incremental_decision"": null, ""source_has_history"": null}, ""error"": {""error_cod",unknown
Twitter @Pietro Schirano,SocialMedia,,http://127.0.0.1:1200/twitter/user/skirano,http://127.0.0.1:1200/twitter/user/skirano,"{""ok"": false, ""error"": {""error_code"": ""rss_fetch_server_error"", ""message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""source_id"": ""socialmedia-twitter-pietro-schirano"", ""feed_url"": ""http://127.0.0.1:1200/twitter/user/skirano""}, ""run"": {""run_id"": ""rss_20260516_083300_809565_socialmedia-twitter-pietro-schirano"", ""source_id"": ""socialmedia-twitter-pietro-schirano"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:33:00.809565+00:00"", ""finished_at"": ""2026-05-16T08:33:00.826621+00:00"", ""duration_ms"": 17, ""duration_seconds"": 0.017, ""error_code"": ""rss_fetch_server_error"", ""error_message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_",rsshub_503
Twitter @Theo - t3.gg,SocialMedia,,http://127.0.0.1:1200/twitter/user/theo,http://127.0.0.1:1200/twitter/user/theo,"{""ok"": false, ""error"": {""error_code"": ""rss_fetch_server_error"", ""message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""source_id"": ""socialmedia-twitter-theo-t3-gg"", ""feed_url"": ""http://127.0.0.1:1200/twitter/user/theo""}, ""run"": {""run_id"": ""rss_20260516_083301_814669_socialmedia-twitter-theo-t3-gg"", ""source_id"": ""socialmedia-twitter-theo-t3-gg"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:33:01.814669+00:00"", ""finished_at"": ""2026-05-16T08:33:01.831335+00:00"", ""duration_ms"": 17, ""duration_seconds"": 0.017, ""error_code"": ""rss_fetch_server_error"", ""error_message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""increment",rsshub_503
Twitter @Tom Huang,SocialMedia,,http://127.0.0.1:1200/twitter/user/tuturetom,http://127.0.0.1:1200/twitter/user/tuturetom,"{""ok"": false, ""error"": {""error_code"": ""rss_fetch_server_error"", ""message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""source_id"": ""socialmedia-twitter-tom-huang"", ""feed_url"": ""http://127.0.0.1:1200/twitter/user/tuturetom""}, ""run"": {""run_id"": ""rss_20260516_083302_818653_socialmedia-twitter-tom-huang"", ""source_id"": ""socialmedia-twitter-tom-huang"", ""status"": ""failed"", ""started_at"": ""2026-05-16T08:33:02.818653+00:00"", ""finished_at"": ""2026-05-16T08:33:02.831280+00:00"", ""duration_ms"": 13, ""duration_seconds"": 0.013, ""error_code"": ""rss_fetch_server_error"", ""error_message"": ""HTTP Error 503: Service Unavailable"", ""retryable"": true, ""stats"": {""fetched_entries"": 0, ""processed_entries"": 0, ""new_items"": 0, ""duplicate_items"": 0, ""failed_items"": 0, ""feed_items_seen"": 0, ""selected_items_for_processing"": 0, ""processed_items"": 0}, ""incremental"": {""mode"": ""fixed_limit"", ""decision"": null, ""anchor_found"": null, ""anchor_index"": null, ""warnings"": [], ""incremental_mode"": ""fixed_limit"", ""increme",rsshub_503
