sequence,source_id,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,url_source,screen,row_index,status,priority
1,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1033890839"", ""local_xml_url"": """", ""row_index"": 2, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1033890839"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1033890839""}",bilibili-user-1033890839,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1033890839,http://127.0.0.1:1200/bilibili/user/video/1033890839,remote,xml_url,False,2,P2,rss
2,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/25073738"", ""local_xml_url"": """", ""row_index"": 3, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-25073738"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/25073738""}",bilibili-user-25073738,bilibili,,http://127.0.0.1:1200/bilibili/user/video/25073738,http://127.0.0.1:1200/bilibili/user/video/25073738,remote,xml_url,False,3,P2,rss
3,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/19319172"", ""local_xml_url"": """", ""row_index"": 4, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-19319172"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/19319172""}",bilibili-user-19319172,bilibili,,http://127.0.0.1:1200/bilibili/user/video/19319172,http://127.0.0.1:1200/bilibili/user/video/19319172,remote,xml_url,False,4,P2,rss
4,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1858861103"", ""local_xml_url"": """", ""row_index"": 5, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1858861103"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1858861103""}",bilibili-user-1858861103,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1858861103,http://127.0.0.1:1200/bilibili/user/video/1858861103,remote,xml_url,False,5,P2,rss
5,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/470585121"", ""local_xml_url"": """", ""row_index"": 6, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-470585121"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/470585121""}",bilibili-user-470585121,bilibili,,http://127.0.0.1:1200/bilibili/user/video/470585121,http://127.0.0.1:1200/bilibili/user/video/470585121,remote,xml_url,False,6,P2,rss
6,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1288663494"", ""local_xml_url"": """", ""row_index"": 7, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1288663494"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1288663494""}",bilibili-user-1288663494,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1288663494,http://127.0.0.1:1200/bilibili/user/video/1288663494,remote,xml_url,False,7,P2,rss
7,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/252411834"", ""local_xml_url"": """", ""row_index"": 8, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-252411834"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/252411834""}",bilibili-user-252411834,bilibili,,http://127.0.0.1:1200/bilibili/user/video/252411834,http://127.0.0.1:1200/bilibili/user/video/252411834,remote,xml_url,False,8,P2,rss
8,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/431850986"", ""local_xml_url"": """", ""row_index"": 9, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-431850986"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/431850986""}",bilibili-user-431850986,bilibili,,http://127.0.0.1:1200/bilibili/user/video/431850986,http://127.0.0.1:1200/bilibili/user/video/431850986,remote,xml_url,False,9,P2,rss
9,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/476051104"", ""local_xml_url"": """", ""row_index"": 10, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-476051104"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/476051104""}",bilibili-user-476051104,bilibili,,http://127.0.0.1:1200/bilibili/user/video/476051104,http://127.0.0.1:1200/bilibili/user/video/476051104,remote,xml_url,False,10,P2,rss
10,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/17780825"", ""local_xml_url"": """", ""row_index"": 11, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-17780825"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/17780825""}",bilibili-user-17780825,bilibili,,http://127.0.0.1:1200/bilibili/user/video/17780825,http://127.0.0.1:1200/bilibili/user/video/17780825,remote,xml_url,False,11,P2,rss
11,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/495979610"", ""local_xml_url"": """", ""row_index"": 12, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-495979610"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/495979610""}",bilibili-user-495979610,bilibili,,http://127.0.0.1:1200/bilibili/user/video/495979610,http://127.0.0.1:1200/bilibili/user/video/495979610,remote,xml_url,False,12,P2,rss
12,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/14004258"", ""local_xml_url"": """", ""row_index"": 13, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-14004258"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/14004258""}",bilibili-user-14004258,bilibili,,http://127.0.0.1:1200/bilibili/user/video/14004258,http://127.0.0.1:1200/bilibili/user/video/14004258,remote,xml_url,False,13,P2,rss
13,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/521296768"", ""local_xml_url"": """", ""row_index"": 14, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-521296768"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/521296768""}",bilibili-user-521296768,bilibili,,http://127.0.0.1:1200/bilibili/user/video/521296768,http://127.0.0.1:1200/bilibili/user/video/521296768,remote,xml_url,False,14,P2,rss
