source_name,source_category,local_xml_url,xml_url,feed_url,error_message,error_type
草稿拾遗,个人博客-人生,,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,"{""detail"": ""HTTP Error 429: Too Many Requests""}",rate_limit
StarYuhen,Articles,,https://www.yuhenm.top/feed/,https://www.yuhenm.top/feed/,"{""detail"": ""HTTP Error 403: Forbidden""}",unknown
51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台,其他,,https://51cg1.com/feed/,https://51cg1.com/feed/,"{""detail"": ""<urlopen error [Errno 101] Network is unreachable>""}",network_error
今日热榜,Articles,,https://web2rss.cc/feed/rebang.today?preview=true,https://web2rss.cc/feed/rebang.today?preview=true,"{""detail"": ""<urlopen error [Errno -2] Name or service not known>""}",network_error
阮一峰的网络日志,科技与编程,,https://feeds.feedburner.com/ruanyifeng,https://feeds.feedburner.com/ruanyifeng,"{""detail"": ""<urlopen error timed out>""}",timeout
刘夙的科技世界,社评,,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,"{""detail"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)""}",feed_parse_error
三联生活周刊 Lifeweek,社评,,https://the.bi/s/rawbbyu2zgmy32,https://the.bi/s/rawbbyu2zgmy32,"{""detail"": ""<urlopen error [Errno 101] Network is unreachable>""}",network_error
不如读书,Articles,,https://wuyagege.substack.com/feed,https://wuyagege.substack.com/feed,"{""detail"": ""<urlopen error [Errno 101] Network is unreachable>""}",network_error
偷懒爱好者周刊,Articles,,https://toolight.cn/open/p/weekly/atom.xml,https://toolight.cn/open/p/weekly/atom.xml,"{""detail"": ""HTTP Error 404: Not Found""}",unknown
信息差——独立开发者出海周刊,Articles,,https://gapis.money/rss.xml,https://gapis.money/rss.xml,"{""detail"": ""failed to parse feed: <unknown>:28:5120: not well-formed (invalid token)""}",feed_parse_error
歸藏的AI工具箱,Articles,,https://wechat2rss.bestblogs.dev/feed/1fc32fedbf5da37e8e819a9298ae80724c12cb03.xml,https://wechat2rss.bestblogs.dev/feed/1fc32fedbf5da37e8e819a9298ae80724c12cb03.xml,"{""detail"": ""HTTP Error 500: Internal Server Error""}",content_inbox_error
学习一下订阅源,Articles,http://127.0.0.1:1200/follow/profile/158883963341209600,https://macmini-rsshub.tail99ecfa.ts.net/follow/profile/158883963341209600,http://host.docker.internal:1200/follow/profile/158883963341209600,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
机器之心,Articles,,https://www.jiqizhixin.com/rss,https://www.jiqizhixin.com/rss,"{""detail"": ""failed to parse feed: <unknown>:12:244: mismatched tag""}",feed_parse_error
Rowan Cheung(@rowancheung),SocialMedia,,https://api.xgo.ing/rss/user/a636de3cbda0495daabd15b9fd298614,https://api.xgo.ing/rss/user/a636de3cbda0495daabd15b9fd298614,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
Latent.Space(@latentspacepod),SocialMedia,,https://api.xgo.ing/rss/user/a7be8b61a1264ea7984abfaea3eff686,https://api.xgo.ing/rss/user/a7be8b61a1264ea7984abfaea3eff686,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
Ideogram(@ideogram_ai),SocialMedia,,https://api.xgo.ing/rss/user/a719880fe66e4156a111187f50dae91b,https://api.xgo.ing/rss/user/a719880fe66e4156a111187f50dae91b,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
Demis Hassabis(@demishassabis),SocialMedia,,https://api.xgo.ing/rss/user/4a884d5e2f3740c5a26c9c093de6388a,https://api.xgo.ing/rss/user/4a884d5e2f3740c5a26c9c093de6388a,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
Cognition(@cognition_labs),SocialMedia,,https://api.xgo.ing/rss/user/4cc14cbd15c74e189d537c415369e1a7,https://api.xgo.ing/rss/user/4cc14cbd15c74e189d537c415369e1a7,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
andrew chen(@andrewchen),SocialMedia,,https://api.xgo.ing/rss/user/a3eb6beb2d894da3a9b7ab6d2e46790e,https://api.xgo.ing/rss/user/a3eb6beb2d894da3a9b7ab6d2e46790e,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
NVIDIA AI(@NVIDIAAI),SocialMedia,,https://api.xgo.ing/rss/user/05f1492e43514dc3862a076d3697c390,https://api.xgo.ing/rss/user/05f1492e43514dc3862a076d3697c390,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
Stanford AI Lab(@StanfordAILab),SocialMedia,,https://api.xgo.ing/rss/user/d5fc365556e641cba2278f501e8c6f92,https://api.xgo.ing/rss/user/d5fc365556e641cba2278f501e8c6f92,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
